Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv1,224,224,224,68,3,1,2,
Conv2_1_1,56,56,56,17,64,1,1,
Conv2_1_2,56,56,56,17,64,1,1,
Conv2_1_3,56,56,56,17,64,1,1,
Conv2_2_1,56,56,56,17,256,1,1,
Conv2_2_2,56,56,56,17,64,1,1,
Conv2_2_3,56,56,56,17,64,1,1,
Conv2_3_1,56,56,56,17,256,1,1,
Conv2_3_2,56,56,56,17,64,1,1,
Conv2_3_3,56,56,56,17,64,1,1,
Conv3_1_1,56,56,56,17,256,1,2,
Conv3_1_2,28,28,28,9,128,1,1,
Conv3_1_3,28,28,28,9,128,1,1,
Conv3_2_1,28,28,28,9,512,1,1,
Conv3_2_2,28,28,28,9,128,1,1,
Conv3_2_3,28,28,28,9,128,1,1,
Conv3_3_1,28,28,28,9,512,1,1,
Conv3_3_2,28,28,28,9,128,1,1,
Conv3_3_3,28,28,28,9,128,1,1,
Conv3_4_1,28,28,28,9,512,1,1,
Conv3_4_2,28,28,28,9,128,1,1,
Conv3_4_3,28,28,28,9,128,1,1,
Conv4_1_1,28,28,28,9,512,1,2,
Conv4_1_2,14,14,14,5,256,1,1,
Conv4_1_3,14,14,14,5,256,1,1,
Conv4_2_1,14,14,14,5,1024,1,1,
Conv4_2_2,14,14,14,5,256,1,1,
Conv4_2_3,14,14,14,5,256,1,1,
Conv4_3_1,14,14,14,5,1024,1,1,
Conv4_3_2,14,14,14,5,256,1,1,
Conv4_3_3,14,14,14,5,256,1,1,
Conv4_4_1,14,14,14,5,1024,1,1,
Conv4_4_2,14,14,14,5,256,1,1,
Conv4_4_3,14,14,14,5,256,1,1,
Conv4_5_1,14,14,14,5,1024,1,1,
Conv4_5_2,14,14,14,5,256,1,1,
Conv4_5_3,14,14,14,5,256,1,1,
Conv4_6_1,14,14,14,5,1024,1,1,
Conv4_6_2,14,14,14,5,256,1,1,
Conv4_6_3,14,14,14,5,256,1,1,
Conv4_7_1,14,14,14,5,1024,1,1,
Conv4_7_2,14,14,14,5,256,1,1,
Conv4_7_3,14,14,14,5,256,1,1,
Conv4_8_1,14,14,14,5,1024,1,1,
Conv4_8_2,14,14,14,5,256,1,1,
Conv4_8_3,14,14,14,5,256,1,1,
Conv4_9_1,14,14,14,5,1024,1,1,
Conv4_9_2,14,14,14,5,256,1,1,
Conv4_9_3,14,14,14,5,256,1,1,
Conv4_10_1,14,14,14,5,1024,1,1,
Conv4_10_2,14,14,14,5,256,1,1,
Conv4_10_3,14,14,14,5,256,1,1,
Conv4_11_1,14,14,14,5,1024,1,1,
Conv4_11_2,14,14,14,5,256,1,1,
Conv4_11_3,14,14,14,5,256,1,1,
Conv4_12_1,14,14,14,5,1024,1,1,
Conv4_12_2,14,14,14,5,256,1,1,
Conv4_12_3,14,14,14,5,256,1,1,
Conv4_13_1,14,14,14,5,1024,1,1,
Conv4_13_2,14,14,14,5,256,1,1,
Conv4_13_3,14,14,14,5,256,1,1,
Conv4_14_1,14,14,14,5,1024,1,1,
Conv4_14_2,14,14,14,5,256,1,1,
Conv4_14_3,14,14,14,5,256,1,1,
Conv4_15_1,14,14,14,5,1024,1,1,
Conv4_15_2,14,14,14,5,256,1,1,
Conv4_15_3,14,14,14,5,256,1,1,
Conv4_16_1,14,14,14,5,1024,1,1,
Conv4_16_2,14,14,14,5,256,1,1,
Conv4_16_3,14,14,14,5,256,1,1,
Conv4_17_1,14,14,14,5,1024,1,1,
Conv4_17_2,14,14,14,5,256,1,1,
Conv4_17_3,14,14,14,5,256,1,1,
Conv4_18_1,14,14,14,5,1024,1,1,
Conv4_18_2,14,14,14,5,256,1,1,
Conv4_18_3,14,14,14,5,256,1,1,
Conv4_19_1,14,14,14,5,1024,1,1,
Conv4_19_2,14,14,14,5,256,1,1,
Conv4_19_3,14,14,14,5,256,1,1,
Conv4_20_1,14,14,14,5,1024,1,1,
Conv4_20_2,14,14,14,5,256,1,1,
Conv4_20_3,14,14,14,5,256,1,1,
Conv4_21_1,14,14,14,5,1024,1,1,
Conv4_21_2,14,14,14,5,256,1,1,
Conv4_21_3,14,14,14,5,256,1,1,
Conv4_22_1,14,14,14,5,1024,1,1,
Conv4_22_2,14,14,14,5,256,1,1,
Conv4_22_3,14,14,14,5,256,1,1,
Conv4_23_1,14,14,14,5,1024,1,1,
Conv4_23_2,14,14,14,5,256,1,1,
Conv4_23_3,14,14,14,5,256,1,1,
Conv5_1_1,14,14,14,5,1024,1,2,
Conv5_1_2,7,7,7,3,512,1,1,
Conv5_1_3,7,7,7,3,512,1,1,
Conv5_2_1,7,7,7,3,2048,1,1,
Conv5_2_2,7,7,7,3,512,1,1,
Conv5_2_3,7,7,7,3,512,1,1,
Conv5_3_1,7,7,7,3,2048,1,1,
Conv5_3_2,7,7,7,3,512,1,1,
Conv5_3_3,7,7,7,3,512,1,1,
